         1447631 function calls (1440426 primitive calls) in 2.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    2.917    1.459 C:\Python\lib\site-packages\IPython\core\interactiveshell.py:3293(run_code)
        2    0.000    0.000    2.917    1.459 {built-in method builtins.exec}
        1    0.005    0.005    2.917    2.917 <ipython-input-10-a1d0988bf820>:5(<module>)
      132    0.001    0.000    1.957    0.015 ../..\anduryl\core\main.py:106(calculate_decision_maker)
      132    0.004    0.000    1.957    0.015 ../..\anduryl\core\main.py:280(calculate_decision_maker)
      132    0.200    0.002    1.847    0.014 ../..\anduryl\core\calculate.py:7(decision_maker)
      363    0.013    0.000    0.655    0.002 ../..\anduryl\core\experts.py:421(calculate_weights)
      165    0.002    0.000    0.471    0.003 C:\Python\lib\site-packages\pandas\core\indexing.py:665(__setitem__)
      132    0.218    0.002    0.462    0.003 ../..\anduryl\core\calculate.py:147(get_expert_CDFs)
      165    0.007    0.000    0.451    0.003 C:\Python\lib\site-packages\pandas\core\indexing.py:782(_setitem_with_indexer)
      495    0.004    0.000    0.363    0.001 C:\Python\lib\site-packages\pandas\core\indexing.py:944(setter)
      363    0.059    0.000    0.315    0.001 ../..\anduryl\core\experts.py:394(calibration_score)
36800/36437    0.120    0.000    0.309    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     4536    0.075    0.000    0.273    0.000 C:\Python\lib\site-packages\numpy\lib\index_tricks.py:318(__getitem__)
      363    0.134    0.000    0.255    0.001 ../..\anduryl\core\experts.py:327(_information_score)
       33    0.000    0.000    0.230    0.007 ../..\anduryl\io.py:103(load_excalibur)
  528/176    0.002    0.000    0.223    0.001 C:\Python\lib\site-packages\pandas\core\indexing.py:1754(__getitem__)
      176    0.001    0.000    0.218    0.001 C:\Python\lib\site-packages\pandas\core\indexing.py:1270(_getitem_tuple)
      176    0.002    0.000    0.217    0.001 C:\Python\lib\site-packages\pandas\core\indexing.py:1364(_getitem_lowerdim)
     2292    0.006    0.000    0.211    0.000 ../..\anduryl\core\experts.py:13(chi2cdf)
       33    0.085    0.003    0.210    0.006 ../..\anduryl\io.py:246(read_excalibur)
      352    0.002    0.000    0.206    0.001 C:\Python\lib\site-packages\pandas\core\indexing.py:1902(_getitem_axis)
     2292    0.203    0.000    0.203    0.000 ../..\anduryl\core\experts.py:4(upper_incomplete_gamma)
      352    0.001    0.000    0.190    0.001 C:\Python\lib\site-packages\pandas\core\indexing.py:615(_get_label)
      352    0.005    0.000    0.189    0.001 C:\Python\lib\site-packages\pandas\core\generic.py:3415(xs)
